estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa
PR,4673700,19175,0,9,2,MEL789
SP,4322303,268305,1,14,4,XPTO123
TO,4221903,193761,3,21,1,FOO456
SC,4754703,440452,0,18,4,XPTO123
SE,4669999,891821,0,20,1,FOO456
MT,4322303,568613,0,16,2,MEL789
AP,3321000,275991,4,16,3,CABL951
MS,3511502,53757,0,18,1,CABL951
RJ,3511502,990407,0,4,4,CABL951
GO,4322303,594199,0,11,4,JJF753
DF,3511501,698640,0,20,3,FOO456
MS,3511501,67326,0,19,2,XPTO123
PA,3329599,996884,0,8,3,FOO456
ES,4221902,801911,0,21,4,FOO456
BA,4322303,740557,4,8,3,XPTO123
SC,3313901,405794,1,2,3,FOO456
TO,3321000,334965,4,17,3,FOO456
PE,4322303,625156,0,14,3,CABL951
RN,2821602,919006,1,11,3,MEL789
RN,4321500,934129,0,7,1,CABL951
RN,4669999,741357,0,2,2,XPTO123
MT,7112000,467221,2,11,3,JJF753
MT,4322301,940770,2,3,3,CABL951
PE,2731700,943545,2,14,3,XPTO123
RO,4321500,203369,1,5,3,FOO456
PR,4754703,692368,2,1,3,CABL951
MG,4742300,671200,3,14,1,MEL789
PR,3511502,393349,1,13,3,MEL789
AL,3511502,333189,4,8,2,JJF753
AC,4221903,431310,0,12,2,JJF753
AL,4673700,769737,0,3,4,XPTO123
AL,4673700,835206,2,7,2,CABL951
AL,3511501,464466,0,12,1,FOO456
AP,4221902,74235,0,10,4,FOO456
AP,3511501,909372,0,4,2,FOO456
AM,3511501,278054,0,2,2,FOO456
AM,4754703,359481,1,20,1,CABL951
BA,3511501,479337,1,2,4,CABL951
BA,4669999,997365,0,5,3,JJF753
BA,4322303,116267,2,15,4,XPTO123
BA,4742300,296388,4,8,4,FOO456
BA,4321500,994882,0,5,4,XPTO123
CE,4669999,315884,3,8,2,JJF753
CE,4754703,409262,0,21,4,FOO456
CE,2821601,323990,0,18,4,CABL951
CE,3329599,380528,0,2,4,FOO456
CE,3511501,699344,3,10,4,CABL951
DF,4322303,19619,0,16,2,MEL789
DF,3511501,776398,3,19,2,XPTO123
ES,4669999,903766,3,9,3,MEL789
ES,3329599,590505,1,21,1,CABL951
ES,4754703,836116,0,15,4,MEL789
ES,4321500,476912,3,21,3,CABL951
ES,2821602,156315,0,10,4,FOO456
GO,2821601,764114,0,6,1,XPTO123
GO,4322301,957159,0,17,1,CABL951
GO,2821601,71559,4,8,3,XPTO123
GO,4322302,253342,0,13,1,CABL951
GO,4322301,807701,0,10,2,XPTO123
GO,4669901,155183,3,19,2,XPTO123
GO,3511501,908203,0,17,2,JJF753
MA,2731700,27494,0,8,2,MEL789
MA,4669901,41389,3,12,4,JJF753
MT,4322301,84883,0,19,1,JJF753
MT,3511502,566708,0,20,3,MEL789
MT,3511502,296243,0,3,3,FOO456
MT,2731700,961615,0,1,1,XPTO123
MS,3329599,268364,0,21,2,FOO456
MS,4322303,798292,0,7,2,MEL789
MS,3511502,488817,4,20,4,XPTO123
MS,4322301,318996,0,11,3,XPTO123
MS,2821601,393438,3,4,2,MEL789
MS,4321500,56193,0,21,3,FOO456
MS,3321000,89615,0,6,2,JJF753
MS,2821602,905109,0,2,2,MEL789
MS,4221902,376200,0,14,3,FOO456
MG,4742300,338795,4,7,1,FOO456
MG,2821602,965136,0,2,3,XPTO123
MG,4673700,402830,1,5,2,MEL789
MG,4221902,26877,2,3,1,CABL951
MG,3329599,740525,2,8,4,JJF753
MG,4322301,725250,4,10,1,CABL951
MG,4742300,532201,2,2,3,MEL789
MG,4669901,263926,0,2,2,CABL951
MG,4669999,951645,2,15,3,JJF753
MG,2821601,33512,0,18,1,FOO456
MG,3511501,414322,1,6,1,MEL789
MG,3511501,512657,4,17,4,JJF753
MG,2821602,340423,0,15,1,JJF753
MG,3329599,882500,0,1,2,MEL789
MG,4221902,398236,0,11,2,CABL951
MG,4321500,563576,0,1,4,JJF753
MG,3321000,534293,0,12,4,JJF753
MG,3321000,30320,3,8,2,XPTO123
MG,4221903,941547,2,6,4,FOO456
MG,4321500,241402,0,18,4,MEL789
MG,3511501,914577,1,9,2,MEL789
MG,4321500,486204,0,19,4,JJF753
MG,4321500,448624,0,15,1,JJF753
MG,4673700,258456,3,6,3,JJF753
MG,3313901,83101,0,5,4,CABL951
MG,3511500,908975,2,4,1,MEL789
MG,4322303,526193,2,20,3,XPTO123
MG,4221902,199088,0,7,3,XPTO123
MG,3511500,301517,2,3,1,FOO456
MG,2731700,336639,1,4,4,XPTO123
MG,4321500,792575,0,19,3,XPTO123
MG,4742300,104757,0,14,4,CABL951
MG,4322303,304503,0,16,3,MEL789
MG,3511501,261479,2,2,3,XPTO123
MG,4669999,953600,0,18,4,CABL951
MG,3511501,40365,0,3,4,FOO456
MG,4754703,871917,0,14,2,JJF753
MG,4322301,841422,4,2,2,JJF753
MG,4321500,186451,3,21,1,FOO456
MG,2821602,400745,0,21,1,MEL789
MG,2821602,525137,0,16,1,FOO456
MG,3329599,922482,0,9,1,MEL789
MG,4321500,18065,1,3,2,JJF753
MG,3511501,345235,0,7,4,XPTO123
MG,3511500,799337,3,5,3,MEL789
MG,3313901,542402,3,21,3,XPTO123
MG,3511501,53137,0,6,1,JJF753
MG,4221902,272743,2,17,3,CABL951
MG,2821602,301125,4,4,1,FOO456
MG,4321500,896046,0,3,3,XPTO123
MG,4669999,989823,2,12,4,JJF753
MG,4742300,219431,0,9,3,CABL951
MG,4669901,13150,0,1,1,FOO456
MG,3511501,899570,1,7,4,MEL789
MG,4221903,243356,1,1,4,XPTO123
MG,3511502,127856,0,18,4,MEL789
MG,7112000,727437,0,15,2,MEL789
PA,2821602,66060,1,14,3,CABL951
PA,7112000,765551,0,10,1,XPTO123
PA,4321500,164580,2,17,1,JJF753
PB,2821602,66037,0,5,2,XPTO123
PB,2821602,686417,1,19,2,CABL951
PR,4673700,459466,1,1,3,CABL951
PR,4322302,313821,0,18,2,CABL951
PR,4754703,330020,0,14,4,CABL951
PR,4322303,49808,4,3,2,CABL951
PR,3511501,693264,4,1,3,FOO456
PR,4754703,995117,0,6,2,XPTO123
PR,2821601,289750,0,1,1,JJF753
PE,4221903,99204,0,19,2,JJF753
PE,4322301,660617,0,7,1,XPTO123
PE,4321500,730074,1,18,3,FOO456
PE,3511501,833449,2,4,3,JJF753
PE,4322301,869357,0,19,3,JJF753
PE,4322302,925380,0,17,1,FOO456
PI,3329599,560296,0,21,4,FOO456
PI,4742300,524761,0,13,4,FOO456
PI,4221902,125420,0,9,1,CABL951
RJ,3329599,815294,0,2,1,MEL789
RJ,4321500,694088,0,15,4,MEL789
RJ,4322302,24749,0,4,2,MEL789
RJ,4673700,833199,0,8,4,CABL951
RJ,4322301,873210,4,20,3,JJF753
RN,4321500,44149,0,3,2,JJF753
RN,4322303,916647,0,8,4,CABL951
RN,4322301,737784,0,10,3,FOO456
RS,4669901,257585,4,9,4,XPTO123
RS,2731700,827853,0,5,1,FOO456
RS,4322302,516003,4,15,2,CABL951
RS,3511501,807931,0,15,1,XPTO123
RS,3511501,78541,2,21,1,FOO456
RS,7112000,136916,0,14,3,CABL951
RO,3329599,751027,0,10,2,XPTO123
RO,2821602,475101,4,3,3,XPTO123
SC,4221903,237998,0,19,4,CABL951
SC,4322303,512248,2,21,4,CABL951
SP,7112000,650493,0,3,2,JJF753
SP,2821601,479299,1,7,4,XPTO123
SP,2731700,189948,0,15,3,CABL951
SP,4321500,908040,3,5,3,JJF753
SP,4321500,855015,1,8,1,FOO456
SP,3511501,557920,0,1,3,MEL789
SP,4221903,827257,0,20,2,FOO456
SP,4669999,842711,0,14,1,JJF753
SP,2821601,749090,0,3,4,MEL789
SP,3313901,243561,0,7,3,XPTO123
SP,4321500,850254,2,5,1,JJF753
SP,4322303,190750,0,10,1,JJF753
SP,4669999,116546,0,13,2,FOO456
SP,4754703,626515,0,8,1,CABL951
SP,4669901,494682,0,14,4,JJF753
SP,4322302,228763,0,6,4,XPTO123
SP,3511502,99675,0,13,3,FOO456
SP,3511502,359628,0,10,2,MEL789
SP,4221903,616351,0,17,4,MEL789
SP,2821602,869335,0,16,3,MEL789
SP,3511502,300447,0,5,1,CABL951
SP,4673700,34382,3,8,3,FOO456
SP,3313901,774175,0,21,1,CABL951
SE,4742300,564958,0,2,1,JJF753
TO,4321500,177949,0,9,1,MEL789
TO,3511501,302931,1,4,2,FOO456
AP,3329599,979691,0,1,4,JJF753
RS,2731700,278174,0,5,2,FOO456
SP,4669901,567000,0,12,4,FOO456
PR,4669901,503678,0,5,3,MEL789
SE,4673700,600828,0,19,2,JJF753
RR,3511501,648425,3,19,2,MEL789
MG,3321000,652501,0,11,3,CABL951
ES,7112000,880435,0,16,4,FOO456
AL,4754703,733757,0,3,1,JJF753
SE,3511500,552743,0,18,3,JJF753
PB,3321000,733601,0,10,1,XPTO123
PR,4742300,837564,0,18,2,MEL789
BA,4221903,952872,0,17,1,CABL951
MG,2821602,175665,0,13,3,FOO456
RJ,3511502,766753,0,7,4,FOO456
SE,4322301,845176,0,3,2,JJF753
PA,2731700,366167,3,8,1,XPTO123
AM,3511500,270708,0,9,1,MEL789
RJ,4321500,570365,2,18,2,XPTO123
SC,3329599,441954,0,4,3,CABL951
AL,3321000,409382,2,7,1,MEL789
TO,2821601,817981,1,12,1,MEL789
MS,3511501,541708,4,11,2,JJF753
AL,4221903,200367,0,7,2,XPTO123
RS,4321500,433717,0,4,3,FOO456
PA,3313901,646658,3,7,2,JJF753
AM,4221903,736284,0,17,4,XPTO123
MA,4321500,643313,0,21,1,JJF753
PE,7112000,466252,1,11,2,XPTO123
ES,2821602,756132,4,14,1,CABL951
RS,2731700,168987,2,21,4,FOO456
TO,3511501,891574,0,11,1,CABL951
SC,4673700,208770,0,20,3,FOO456
PR,7112000,405074,0,21,4,JJF753
AL,4673700,675457,0,1,3,FOO456
GO,3511501,88510,0,21,1,CABL951
SE,4669901,105286,0,9,2,XPTO123
ES,3511501,248700,0,21,1,MEL789
AL,4669999,227011,0,17,1,CABL951
AL,2821601,170379,3,11,2,CABL951
DF,4221903,621921,4,15,3,XPTO123
MA,2731700,490381,0,3,3,XPTO123
SC,4221903,567091,4,12,2,JJF753
AC,7112000,36187,4,3,2,XPTO123
PI,3511501,46636,2,15,4,FOO456
MT,3329599,100360,0,2,2,XPTO123
DF,4322303,935188,3,14,3,FOO456
RR,7112000,53341,0,18,4,MEL789
PB,4754703,932204,0,12,4,FOO456
RS,4322301,794144,0,21,4,FOO456
RJ,7112000,869466,2,1,1,JJF753
PE,4673700,954457,0,15,3,XPTO123
PI,7112000,368102,1,2,1,JJF753
PR,4322303,480168,0,18,1,MEL789
AM,3329599,991718,0,2,2,XPTO123
AP,4221902,174947,0,15,1,MEL789
PB,4669999,768106,0,5,2,XPTO123
PE,3511501,629933,4,4,3,XPTO123
SE,4669901,302977,0,5,2,MEL789
GO,4321500,165898,0,10,3,CABL951
MG,2821602,697891,3,13,4,XPTO123
PB,4322303,617485,0,5,2,XPTO123
AC,7112000,695782,0,9,2,MEL789
GO,3511501,95065,4,11,3,FOO456
GO,2821602,476777,2,2,1,JJF753
PI,3511500,899194,0,1,2,JJF753
BA,4321500,995247,0,17,3,FOO456
TO,4221902,645283,0,11,2,FOO456
DF,2821602,170942,2,10,1,CABL951
SE,3321000,693284,0,14,2,CABL951
RN,4221903,793008,0,21,4,MEL789
PA,3321000,270413,0,19,3,CABL951
ES,3511502,314351,3,17,2,MEL789
SC,4673700,735933,4,12,1,XPTO123
SC,3321000,701221,0,21,2,JJF753
CE,4754703,23508,0,10,1,FOO456
SC,2821602,464941,0,21,1,JJF753
MT,4321500,433263,1,10,2,JJF753
PA,3511501,112807,1,21,1,MEL789
MT,4742300,256733,0,14,4,JJF753
PE,4221903,131677,2,10,3,XPTO123
MT,4221903,665861,0,9,4,CABL951
PI,4754703,746208,0,6,3,XPTO123
RN,2821602,733195,0,13,1,MEL789
CE,4754703,503278,1,1,3,XPTO123
DF,3511500,272808,0,20,3,CABL951
MG,4322301,729942,4,15,4,JJF753
PB,7112000,759999,4,14,3,XPTO123
AC,3329599,806817,0,12,2,MEL789
RJ,4322302,191542,1,16,4,JJF753
SE,2821602,880363,0,18,4,CABL951
PR,4673700,881195,4,21,3,MEL789
MA,4321500,830066,0,8,2,FOO456
AP,4754703,596270,4,19,1,FOO456
AL,4322302,940144,0,3,3,FOO456
AP,7112000,246277,0,5,2,CABL951
RJ,3511501,663595,0,16,2,JJF753
RR,4221903,822586,0,6,3,XPTO123
SC,3313901,140672,2,4,3,CABL951
BA,4221903,84648,0,20,2,MEL789
RS,2731700,735883,3,2,2,CABL951
PB,7112000,38637,2,12,1,CABL951
MT,4221902,349652,1,10,1,XPTO123
PI,4321500,53970,4,7,1,MEL789
BA,4742300,648215,0,13,3,XPTO123
DF,3511500,674914,0,8,1,JJF753
PR,4322302,830304,0,2,2,MEL789
MA,4321500,952651,0,21,4,JJF753
MA,4221902,576995,0,8,2,MEL789
RS,3321000,555631,0,7,4,CABL951
AP,4221902,513810,1,14,2,CABL951
GO,4321500,104289,0,4,1,CABL951
AP,3329599,518553,4,4,3,MEL789
RJ,7112000,471296,0,11,3,JJF753
SE,4322303,979306,3,4,1,JJF753
CE,2821601,198260,0,13,4,CABL951
AM,3511501,211340,0,10,2,XPTO123
PR,2821601,794436,0,10,1,FOO456
AM,4322301,360695,0,5,2,FOO456
AM,7112000,125456,1,11,3,FOO456
DF,4221903,445154,0,17,3,XPTO123
AL,3329599,148779,0,10,1,JJF753
PR,3313901,123000,0,10,2,CABL951
MS,4669999,520101,1,12,2,JJF753
SE,3511501,48676,4,3,1,JJF753
SP,4321500,416998,2,13,3,JJF753
BA,2731700,290200,3,12,3,JJF753
PA,4221903,169477,0,11,4,MEL789
MS,4754703,188066,4,10,4,XPTO123
RN,3511501,951341,0,6,3,XPTO123
SC,4321500,646550,0,13,3,MEL789
PR,4321500,203405,0,9,3,XPTO123
RN,3511501,36409,2,12,2,FOO456
AL,3321000,309803,0,14,2,XPTO123
PE,4322303,539043,0,14,3,CABL951
GO,3329599,785731,0,12,1,JJF753
AC,4754703,670478,3,12,4,CABL951
PE,4754703,103442,0,14,2,FOO456
SE,4322303,679985,3,21,4,CABL951
BA,4221903,434961,0,20,4,CABL951
ES,4322303,59516,3,19,2,MEL789
AC,2821601,710670,0,8,3,XPTO123
RJ,4321500,34201,0,19,3,XPTO123
RS,4669901,680393,0,8,4,CABL951
AL,3321000,756027,0,15,2,JJF753
SE,4321500,851173,0,2,2,CABL951
RR,4322303,388453,1,4,3,XPTO123
AC,3511501,352656,0,21,3,XPTO123
GO,4321500,243021,3,10,3,FOO456
MT,2731700,167441,2,13,1,CABL951
CE,4754703,932787,0,12,4,FOO456
BA,4221903,746156,0,10,1,JJF753
SE,3511502,417126,0,17,3,MEL789
TO,4221902,14060,0,21,1,XPTO123
AP,4321500,173639,0,5,2,MEL789
TO,4321500,456290,2,4,3,MEL789
AL,2821602,735130,1,21,2,MEL789
SC,4321500,510450,0,5,2,MEL789
PE,4754703,279307,0,9,3,MEL789
DF,4322303,996618,0,6,1,CABL951
SE,2821601,665677,4,3,4,CABL951
MG,4221903,616422,4,5,1,FOO456
PB,4669901,117246,4,20,2,XPTO123
MT,4321500,472913,0,14,2,MEL789
ES,2821602,169066,0,3,4,MEL789
GO,2821602,745615,1,4,4,CABL951
PI,4742300,973813,3,2,3,XPTO123
CE,3321000,288875,4,4,2,MEL789
ES,2821602,436851,2,1,4,XPTO123
SP,3511501,649620,4,3,4,CABL951
PB,2821601,935496,0,11,1,XPTO123
MG,2821601,721979,0,10,4,CABL951
MS,4673700,521532,4,11,2,JJF753
SP,2821602,516563,0,15,3,XPTO123
ES,7112000,134711,0,5,3,FOO456
AC,7112000,476788,1,7,1,JJF753
MG,3321000,451555,0,5,1,CABL951
MG,4221903,675342,0,19,4,JJF753
SC,4322301,223911,0,4,2,MEL789
SE,3321000,763468,0,7,3,MEL789
AP,2731700,857976,1,2,4,JJF753
TO,4321500,582987,0,11,2,CABL951
RN,2821602,319824,0,5,1,MEL789
DF,4669901,868252,0,21,2,JJF753
BA,4322301,752443,2,3,2,CABL951
AL,4669901,234316,0,11,1,XPTO123
RR,4669999,524255,3,11,1,JJF753
RS,4322301,60343,0,16,4,XPTO123
CE,2821601,405903,2,4,1,XPTO123
RR,4321500,478134,0,7,3,CABL951
PI,4322301,599087,3,12,4,FOO456
PA,4321500,263931,0,5,3,MEL789
MT,4322302,344379,1,3,3,CABL951
SP,4754703,316521,3,4,2,XPTO123
SP,2821602,48805,0,20,4,XPTO123
BA,4754703,250195,2,13,2,FOO456
AC,4754703,315459,0,3,1,CABL951
PR,2731700,202278,0,11,1,XPTO123
AP,3511500,160670,0,9,3,JJF753
MG,4742300,236421,0,11,3,XPTO123
RN,2731700,860152,0,19,2,CABL951
RO,4669999,308815,0,2,1,CABL951
PA,4322303,633705,0,15,2,XPTO123
AP,4322301,735381,0,13,2,CABL951
PB,3313901,158999,0,8,1,XPTO123
MS,4754703,170071,0,4,2,MEL789
RR,4673700,885382,0,15,1,FOO456
SC,3511501,465082,0,13,3,MEL789
MT,2821602,226164,4,9,1,FOO456
TO,3511501,588273,0,2,4,FOO456
SE,4754703,288568,0,6,1,FOO456
CE,3313901,153338,4,9,4,XPTO123
PE,2821602,252265,1,19,4,MEL789
AL,3313901,656165,0,19,4,FOO456
MT,3321000,900835,2,12,4,FOO456
MT,3329599,193217,4,1,1,JJF753
SP,4321500,373797,0,19,3,FOO456
SP,2731700,258095,0,9,2,XPTO123
PI,4669901,649847,3,13,2,XPTO123
PA,3511501,752304,0,2,3,MEL789
SE,7112000,859572,3,21,4,XPTO123
PI,7112000,776563,3,1,3,XPTO123
TO,4322303,175560,0,5,2,MEL789
ES,3313901,704767,2,1,2,FOO456
PB,4321500,447032,0,7,2,MEL789
MS,2731700,579124,0,9,3,JJF753
AP,4322303,615902,0,7,1,CABL951
TO,3313901,962553,0,1,3,CABL951
PB,3511501,911089,0,18,1,JJF753
SC,3313901,747290,2,17,4,JJF753
BA,2821601,921276,3,6,2,MEL789
PB,7112000,68462,0,13,1,FOO456
MS,3511502,911971,4,15,4,MEL789
SE,4221902,302661,4,3,1,CABL951
AL,3511501,201588,1,17,2,JJF753
PE,3329599,545190,0,6,3,MEL789
SP,4754703,963603,0,6,4,CABL951
RS,3329599,423311,0,15,4,CABL951
TO,4322301,831696,0,5,2,FOO456
RN,4221902,819671,0,12,1,FOO456
RN,3313901,420927,0,8,4,XPTO123
SE,4221902,174364,1,11,1,FOO456
PA,4322303,306537,0,15,3,CABL951
RR,4669901,407383,3,14,4,MEL789
TO,4673700,952551,3,7,1,MEL789
CE,4754703,350180,0,11,3,JJF753
MG,4322303,575927,0,15,4,CABL951
MG,2821602,208583,4,13,1,CABL951
SE,2821601,257379,0,10,3,FOO456
MA,4754703,673895,0,21,2,JJF753
MA,2821601,81455,0,21,1,CABL951
MT,3511502,269727,0,19,4,FOO456
MA,3511500,915590,0,10,1,CABL951
RO,2821602,823105,0,13,4,XPTO123
AC,3329599,373025,0,3,4,XPTO123
SE,4669999,237365,0,8,4,XPTO123
RN,3313901,349995,3,12,1,MEL789
RS,3329599,641110,3,18,3,JJF753
TO,2731700,233477,2,19,3,FOO456
RS,4673700,896994,3,4,2,MEL789
BA,4669901,360600,2,17,4,JJF753
RO,4673700,475825,1,9,1,XPTO123
GO,3511500,123958,1,15,3,FOO456
SC,4322303,337321,0,2,4,CABL951
SP,2821602,700766,2,17,1,XPTO123
PI,3321000,639348,0,19,1,XPTO123
TO,3511502,34395,0,17,2,MEL789
SP,3511500,922931,0,6,1,XPTO123
PE,4322301,827300,0,11,3,CABL951
PE,4221903,930374,0,13,2,CABL951
RJ,4669901,204268,1,14,4,JJF753
GO,4322303,421180,0,6,4,MEL789
SE,4673700,380731,4,3,3,FOO456
RO,3511501,743028,0,19,2,CABL951
SE,4321500,139105,0,12,1,FOO456
RO,7112000,476237,0,5,3,MEL789
MA,4669901,118425,2,19,3,XPTO123
PA,4322302,624717,0,20,3,MEL789
RO,4673700,731683,0,9,3,XPTO123
MA,4221903,694695,4,14,4,MEL789
MA,3313901,28174,4,8,4,XPTO123
MT,3313901,80331,3,19,3,XPTO123
PI,4669901,624182,0,9,4,CABL951
CE,3511502,133762,0,18,4,MEL789
RO,3321000,386975,3,4,1,FOO456
AL,2731700,540427,2,10,1,XPTO123
AC,3511501,611964,0,10,4,CABL951
AM,4321500,608053,0,2,3,FOO456
DF,3511500,813959,0,14,1,MEL789
PR,4322303,912609,0,6,3,FOO456
PR,3511502,790501,4,5,1,CABL951
AL,3511500,546317,0,1,4,MEL789
RR,3511502,898689,0,9,1,JJF753
PA,4673700,317461,0,15,3,CABL951
PB,2731700,689744,4,15,3,JJF753
SP,4322303,358178,0,2,1,FOO456
RN,4221903,688970,1,20,2,XPTO123
BA,3511500,209011,0,18,1,XPTO123
ES,4321500,448004,0,12,2,FOO456
PE,3511501,191504,0,8,2,XPTO123
RJ,4754703,989755,0,20,2,MEL789
GO,4754703,319698,0,17,3,XPTO123
PB,4322301,707381,1,4,4,MEL789
BA,2731700,102778,2,4,4,XPTO123
SC,4673700,121202,0,19,1,FOO456
BA,4221902,683084,2,5,1,XPTO123
PR,3313901,973857,2,3,3,JJF753
AC,3329599,677583,0,1,2,MEL789
MS,4321500,728719,4,2,2,MEL789
PI,3313901,298195,0,19,2,XPTO123
SC,3329599,397541,4,9,2,MEL789
AP,2731700,968420,2,9,2,JJF753
PE,3511502,874487,0,13,4,MEL789
DF,4669999,185131,4,17,2,CABL951
MG,2731700,301069,3,14,2,CABL951
DF,3329599,619676,0,6,3,FOO456
CE,4669999,151994,0,4,2,CABL951
MT,2821601,465339,0,7,1,MEL789
RR,3313901,395746,0,1,4,CABL951
BA,4321500,88859,0,1,1,JJF753
PA,4673700,820401,0,4,3,XPTO123
MG,2731700,132556,0,20,3,CABL951
RR,3511502,237491,0,21,3,CABL951
RJ,4669901,807499,0,19,2,CABL951
BA,4669999,357972,0,15,1,MEL789
AL,4322302,969852,0,18,1,JJF753
BA,3511502,664422,0,18,4,XPTO123
PE,4742300,42719,2,1,4,JJF753
MT,7112000,588393,0,20,1,JJF753
BA,2821601,147598,2,5,2,JJF753
SE,2821601,767291,0,9,4,JJF753
PE,4221903,168676,0,7,4,MEL789
SC,4669901,760193,2,5,4,CABL951
RS,4669901,905720,0,21,2,CABL951
MG,4321500,479903,0,8,1,JJF753
RS,2821602,106575,0,16,2,FOO456
CE,4322301,350547,0,5,4,FOO456
RO,3321000,969482,1,2,3,FOO456
PB,4322302,327851,0,9,2,MEL789
PA,4322301,567218,0,7,2,CABL951
RN,4669901,641554,0,16,2,CABL951
AL,4669901,318177,0,6,1,XPTO123
PR,4754703,371749,3,20,2,JJF753
MG,3329599,531489,4,19,2,XPTO123
GO,3511501,804595,0,6,4,JJF753
AM,2731700,691451,0,9,2,XPTO123
DF,4322301,399302,0,3,1,CABL951
MT,3511501,108572,0,12,4,JJF753
SP,2821602,80051,1,18,2,XPTO123
PA,4673700,333882,0,17,4,MEL789
MA,2731700,408834,0,11,2,XPTO123
TO,2731700,352110,0,2,3,XPTO123
BA,4221902,308032,0,1,4,XPTO123
PR,4321500,64875,0,13,3,XPTO123
SE,4221902,424186,3,13,3,XPTO123
MS,4321500,551426,0,15,1,XPTO123
CE,4742300,311713,0,12,2,XPTO123
RN,3313901,784054,2,1,2,MEL789
TO,3511501,994698,3,19,2,CABL951
CE,4322302,495789,0,20,4,MEL789
PA,2821602,720772,0,12,4,JJF753
MG,2821601,334735,0,1,4,JJF753
DF,2731700,155070,0,3,2,FOO456
MA,3329599,559189,4,16,4,XPTO123
RO,7112000,886599,4,4,2,CABL951
GO,4221903,661890,2,18,3,XPTO123
PR,4221902,671292,4,20,1,FOO456
SE,2731700,554017,0,11,4,XPTO123
ES,4673700,913844,0,17,3,MEL789
PI,3313901,309390,0,5,2,JJF753
MT,4221902,284409,0,21,4,JJF753
MS,4321500,530334,0,8,1,FOO456
PE,7112000,626676,0,11,1,CABL951
AL,2821601,692900,0,1,3,CABL951
PE,4742300,194184,0,11,3,CABL951
CE,4673700,55162,3,1,2,CABL951
BA,4742300,933650,1,21,4,FOO456
TO,4221903,243571,0,9,2,CABL951
RS,3511502,315722,1,6,2,CABL951
AM,2731700,760672,0,18,1,CABL951
BA,4742300,268820,3,3,2,JJF753
PB,4754703,548695,0,12,3,MEL789
SE,3511502,245583,0,7,3,CABL951
SC,4754703,784604,0,5,1,MEL789
AM,4322303,248712,0,2,1,JJF753
RJ,3511501,935182,0,1,2,CABL951
RR,3321000,251906,0,6,1,MEL789
PB,4322302,103659,0,6,3,JJF753
SE,3511502,655439,0,8,3,JJF753
BA,2821602,460115,0,1,3,MEL789
PB,4669901,922746,1,17,4,MEL789
PB,4321500,441519,1,10,4,CABL951
PE,3511501,664638,0,15,1,XPTO123
ES,3313901,890533,0,7,4,XPTO123
ES,4321500,389944,0,7,2,FOO456
RN,4754703,304465,0,16,3,XPTO123
TO,2821601,218584,0,5,4,XPTO123
RO,3313901,113299,0,1,3,MEL789
SC,4321500,748439,1,11,4,MEL789
SC,4754703,783354,0,10,1,XPTO123
MG,3321000,563321,0,4,1,XPTO123
AM,4669901,168260,2,9,2,XPTO123
AL,2731700,401822,0,19,3,XPTO123
SP,2731700,434350,0,13,2,FOO456
RO,3511500,77074,2,21,2,MEL789
MS,3321000,542326,1,16,1,CABL951
SC,3313901,398003,0,4,1,CABL951
AP,4321500,370271,0,16,3,CABL951
CE,4321500,798669,0,5,1,MEL789
RS,3321000,330198,0,1,1,FOO456
RN,4669999,148380,1,17,1,XPTO123
PA,3329599,487702,2,3,2,MEL789
SP,4322303,528576,4,19,2,XPTO123
RJ,3511502,217633,0,6,1,CABL951
BA,4221902,747166,0,15,2,JJF753
RN,4321500,985425,0,4,1,XPTO123
GO,2821601,65641,0,16,3,MEL789
SP,4673700,483688,3,1,4,FOO456
GO,3321000,200551,0,1,4,MEL789
RJ,4221903,675879,0,16,1,MEL789
RO,4321500,841285,0,19,4,XPTO123
SP,4322302,947633,1,15,4,XPTO123
MA,3511502,768283,0,17,3,JJF753
SE,4322303,57671,3,12,3,MEL789
PI,3321000,220268,3,2,3,JJF753
PA,4321500,529090,3,4,1,MEL789
RN,4673700,970882,3,8,3,XPTO123
SC,4321500,768322,3,18,1,CABL951
AM,3511501,20245,1,2,2,MEL789
RR,2821602,146087,2,18,2,JJF753
DF,3511502,431503,1,6,3,MEL789
RJ,4221902,863001,4,2,3,CABL951
AM,4673700,178662,4,1,3,CABL951
AL,3511501,561739,3,2,1,MEL789
MG,3313901,129504,3,7,3,CABL951
AP,4322303,699029,0,8,3,CABL951
AL,3511502,574519,0,4,4,JJF753
RJ,4321500,844472,1,5,1,JJF753
SE,3321000,635145,2,20,3,JJF753
AL,2731700,684191,0,16,2,JJF753
PI,7112000,966364,0,21,3,CABL951
RN,4221902,215570,1,13,2,MEL789
PR,4742300,347017,4,21,2,MEL789
PE,4754703,134933,0,3,2,FOO456
SC,4742300,561097,2,10,1,JJF753
RJ,3511500,678621,4,12,4,JJF753
SE,3511501,127722,0,3,4,JJF753
MG,3511501,51400,0,15,1,JJF753
AP,4322303,849349,0,18,3,CABL951
CE,3511501,270891,0,5,1,CABL951
PR,2821601,58382,0,10,3,JJF753
RO,2821602,228644,0,4,1,JJF753
SC,3511501,813703,0,18,1,CABL951
ES,4754703,245419,1,1,2,FOO456
AC,3511500,165061,0,4,4,FOO456
RS,3511502,398993,0,18,2,MEL789
MT,3329599,489576,0,15,3,JJF753
PI,3511501,941594,1,12,1,MEL789
